name,category,location,website,contact,price_signal,source,score,b2bmap_url
Antique Brass Moroccan LTD.,Furniture & Decor,Marrakech-Tensift-Al Haouz,https://moroccanbrassart.com/,0660875375,,b2bmap.com,5.0,https://b2bmap.com/antique-brass-moroccan-ltd
Berber Rugs Store Ltd,Furniture & Decor,Marrakech-Tensift-Al Haouz,http://handemadecarpet.com/,0701987332,,b2bmap.com,5.0,https://b2bmap.com/berber-rugs-store
Omak Trade,Furniture & Decor,,https://omakrayonnage.com/,0666986436,,b2bmap.com,5.0,https://b2bmap.com/company-3124
Mobilier Bureau Pro (MBP),Furniture & Decor,"ad-Dar-al-Bayda, Casablanca",http://www.mobilierbureaupro.com/,0640395875,,b2bmap.com,4.9,https://b2bmap.com/mobilier-bureau-pro-mbp
MDS Cheminees,Furniture & Decor,Marrakech-Tensift-Al Haouz,https://mdscheminee.com/,0707006006,,b2bmap.com,4.7,https://b2bmap.com/mds-cheminees
Twichya,Furniture & Decor,Marrakech-Tensift-Al Haouz,,0661248432,,b2bmap.com,4.6,https://b2bmap.com/twichya
Moroccan Pouf Store,Furniture & Decor,Marrakech-Tensift-Al Haouz,,0707932646,,b2bmap.com,4.2,https://b2bmap.com/moroccan-pouf-store
Timadel Home,Furniture & Decor,"Oujda, Oujda",,0650469815,,b2bmap.com,0,https://b2bmap.com/timadel-home
