name,category,location,website,contact,price_signal,source,score,b2bmap_url
Bagha Shoes,"Arts, Crafts & Gifts","Agadir, Agadir",https://baghashoes.com/,0680734437,,b2bmap.com,5.0,https://b2bmap.com/bagha-shoes
Tresors El Mamoun,"Arts, Crafts & Gifts",Marrakech-Tensift-Al Haouz,https://tresorselmamoun.com/,0672789898,,b2bmap.com,4.8,https://b2bmap.com/tresors-el-mamoun
Labboho Morocco,"Arts, Crafts & Gifts","Agadir, Agadir",https://www.labboho.com/,0661115201,,b2bmap.com,4.7,https://b2bmap.com/labboho-morocco
Maghreb Market,"Arts, Crafts & Gifts","ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0,https://b2bmap.com/maghreb-market
