name,category,location,website,contact,price_signal,source,score,b2bmap_url
Forum Diffusion,Office Supplies,"ar-Ribat, Rabat-Sale-Zammour-Zaer",https://forumdiffusion.ma/,0537777107,,b2bmap.com,5.0,https://b2bmap.com/forum-diffusion
Agaforia,Office Supplies,Marrakech-Tensift-Al Haouz,https://marrakechcheval.com/,0643935177,,b2bmap.com,5.0,https://b2bmap.com/agaforia
Sahara Holiday Tours,Office Supplies,"ad-Dar-al-Bayda, Casablanca",,0522850737,,b2bmap.com,3.5,https://b2bmap.com/sahara-holiday-tours
