name,category,location,website,contact,price_signal,source,score,b2bmap_url
Piximage,Textiles Leather & Jute,,http://www.piximage.ca/,+15149739841,,b2bmap.com,4.7,https://b2bmap.com/company-20013
Leather Shoes Wholesale,Textiles Leather & Jute,"ad-Dar-al-Bayda, Casablanca",https://www.opiyane.com/,0649000760,,b2bmap.com,4.5,https://b2bmap.com/leather-shoes-wholesale
Moroccan Leather Pouf Ottomans Footstools,Textiles Leather & Jute,Marrakech-Tensift-Al Haouz,,0707932646,,b2bmap.com,4.2,https://b2bmap.com/moroccan-leather-pouf-ottomans-footstools
