name,category,location,website,contact,price_signal,source,score,b2bmap_url
TECHNORDE,Construction & Real Estate,"ad-Dar-al-Bayda, Casablanca",https://www.technorde.ma/,0661522655,,b2bmap.com,5.0,https://b2bmap.com/technorde
OMNISCIENT PE,Construction & Real Estate,Taza-Al Hoceima-Taounate,,0777502515,,b2bmap.com,5.0,https://b2bmap.com/omniscient-pe
Moroccan Natural Stone,Construction & Real Estate,"Tangier, Tangier-Tetouan",https://www.moroccannaturalstone.com/,0622204355,,b2bmap.com,0,https://b2bmap.com/moroccan-natural-stone
PINGER MAROC,Construction & Real Estate,Marrakech-Tensift-Al Haouz,http://www.pingerma.ma/,0524458567,,b2bmap.com,0,https://b2bmap.com/pinger-maroc
