name,category,location,website,contact,price_signal,source,score,b2bmap_url
Agence Digital Spread,Computer & IT,Taza-Al Hoceima-Taounate,http://www.astraldigital.ma/,0708018626,,b2bmap.com,5.0,https://b2bmap.com/agence-digital-spread
Lex Connect,Computer & IT,"Tangier, Tangier-Tetouan",https://www.ma-lex.ma/,0661197304,,b2bmap.com,4.9,https://b2bmap.com/lex-connect
Fusion Bpo Services,Computer & IT,"ad-Dar-al-Bayda, Casablanca",https://www.fusioncx.com/locations/morocco/,0522429089,,b2bmap.com,3.4,https://b2bmap.com/fusion-bpo-services
