name,category,location,website,contact,price_signal,source,score,b2bmap_url
Ennea Trophi Sarl AU,Agro & Agriculture,"Agadir, Agadir",http://www.enneatrophi.com/,,,b2bmap.com,3.7,https://b2bmap.com/ennea-trophi-sarl-au
Viva Cosmetics,Agro & Agriculture,Marrakech-Tensift-Al Haouz,,0663120988,,b2bmap.com,0,https://b2bmap.com/viva-cosmetics
Falcoex,Agro & Agriculture,"ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0,https://b2bmap.com/falcoex
